
Jan 17  0:22 [refSpec_CdHgKrNeXe.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
   93.9752 -37.13678   100998.     INDEF   32101.1     2.956        0.
  74.12766 -37.13678   1719.92     INDEF   509.747      3.17        0.
  52.68591 -37.13678   20698.9     INDEF   6568.94      2.96        0.
  30.73278 -37.13678   10256.6     INDEF   3217.05     2.995        0.
  114.2554 -37.13678   3244.71     INDEF   990.133     3.079        0.

Jan 17 14:29 [refSpec_CdHgKrNeXe.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  2458.427   53.6602   69994.7    -1304.   22304.1     2.948        0.
  2458.428  4.367661   70321.9   -16101.   22339.2     2.957        0.
   2474.22 -25.73633   50976.7     INDEF   16014.5      2.99        0.
  2516.115 -25.73633   1782.73     INDEF   523.691     3.198        0.
  2570.562 -25.73633   40819.7     INDEF    12900.     2.973        0.
  2621.366 -25.73633   35839.8     INDEF    11306.     2.978        0.
   2644.64 -2.641346   68524.7     INDEF   20905.3     3.079        0.
  2702.842 -24.49054   3194.69     INDEF    968.77     3.098        0.
  2744.191  25.41087   2952.74    -116.2   991.278     2.798        0.
  2766.361   48.3688   788.189     -16.3   293.105     2.526        0.
  2773.295   48.3688   2316.15    -47.89   775.336     2.806        0.
  2838.336   25.8829   50381.8    -1947.   16047.3     2.949        0.
  2878.895   50.9164   30146.2    -592.1    9723.5     2.913        0.
  2943.508   25.8829   1829.48    -70.68   602.766     2.851        0.
   2956.26   25.8829   6012.11    -232.3   1897.53     2.976        0.
  2994.905   25.8829   10075.9    -389.3   3172.45     2.984        0.
  3029.025  4.249378    1049.9    -247.1   331.823     2.972        0.
  3105.113  2.743767   4202.45    -1532.   1298.34     3.041        0.
  3227.457  2.799292   12228.3    -4368.   3943.93     2.913        0.
  3290.561  2.988175   9284.37    -3107.   2937.63     2.969        0.
  3408.615  3.300848   7915.97    -2398.    2552.5     2.913        0.
  3424.218 -6.332253   3193.07     INDEF   1016.32     2.952        0.
  3439.241  6.479668   7247.42    -1118.   2264.35     3.007        0.
  3481.731  6.479668   1601.79    -247.2   503.645     2.988        0.
  3557.477 -3.098389   5031.61     INDEF   1579.54     2.993        0.
  3598.047 -3.098389   3157.08     INDEF   1005.92     2.948        0.
  3631.024 -3.098389   5139.49     INDEF   1620.09      2.98        0.
  3663.114 -3.098389   2047.04     INDEF   658.648      2.92        0.
   3688.17 -3.098389   6181.62     INDEF   2002.16       2.9        0.
  3704.015 -3.098389   3044.45     INDEF   962.173     2.973        0.
  3846.493 -3.098389   18365.1     INDEF   5920.15     2.914        0.
   3870.57 -3.098389   1611.59     INDEF   505.437     2.995        0.
  2445.598 -70.11798    1988.4     INDEF   473.463     3.945        0.
  2421.049 -33.35834   4350.48     INDEF   1293.99     3.158        0.
  2321.052 -31.53311   80950.2     INDEF   25806.4     2.947        0.
  2307.219 -10.30431   5210.72     INDEF   1593.01     3.073        0.
  2285.151 -10.30431   20184.9     INDEF   6367.04     2.978        0.
  2151.176 -86.70911   101926.     INDEF   32382.7     2.957        0.
  2135.706  18.51999   1200.06     -64.8   379.648      2.97        0.
  2121.791  18.51999   6941.62    -374.8   2264.59      2.88        0.
  2102.884   45.6368   50333.4    -1103.   15943.2     2.966        0.
  2080.471 -56.27849   1585.97     INDEF   339.941     4.383        0.
  2003.478  18.51999   71039.7    -3836.   22222.7     3.003        0.
  1978.057  7.594395   6059.28    -797.9   1943.31     2.929        0.
  1916.928 -13.64747   1064.62     INDEF   329.257     3.038        0.
  1862.219  4.095093   1459.86    -356.5   461.831      2.97        0.
  1844.852  4.095093   4929.21    -1204.   1591.99     2.909        0.
  1816.894 -9.498077   7964.62     INDEF   2528.75     2.959        0.
  1800.052 -2.669904   3084.31     INDEF   937.429     3.091        0.
  1782.521  1.709774   3022.12    -1768.   961.692     2.952        0.
  1714.831 -8.778046   13202.2     INDEF   4175.07     2.971        0.
  1654.626 -15.88846   1177.59     INDEF   327.235     3.381        0.
  1590.298 -8.778046   2617.02     INDEF   808.659      3.04        0.
  1530.093   9.18568   20059.9    -2184.   6322.64     2.981        0.
  1519.392  9.185679   15235.9    -1659.   4909.94     2.915        0.
  1423.102  -2.25058   30197.8     INDEF    9539.7     2.974        0.
  1357.005 0.0489502   13246.8  -270618.   4226.85     2.944        0.
  1347.521  -15.9158   30204.2     INDEF   9606.97     2.954        0.
   1293.62 -57.73761   31724.2     INDEF   9686.19     3.077        0.
   1274.78 -57.73761    3507.3     INDEF    1025.8     3.212        0.
  1221.005 -57.73761   1459.83     INDEF   356.518     3.847        0.
  1184.592 -3.307721   1501.71     INDEF   463.287     3.045        0.
  1175.678 -5.537262    1050.7     INDEF   314.604     3.137        0.
  1129.464 0.3301697    50221.  -152107.   15903.5     2.967        0.
  1062.473 -39.11394   1604.73     INDEF   416.024     3.624        0.
  1014.386 0.3301697    81077.  -245562.   25689.3     2.965        0.
  990.2229 0.3301697   1505.16    -4559.   489.213      2.89        0.
  932.9314  7.575073   80944.1   -10686.   25706.4     2.958        0.
  870.7963 -5.226349   5189.64     INDEF   1593.57     3.059        0.
  827.7781 -5.226349   2617.62     INDEF   834.791     2.946        0.
  801.6974 -9.428513   9917.61     INDEF   3205.97     2.906        0.
  792.7468 -9.428513   1960.93     INDEF   604.442     3.048        0.
  771.2095 -9.428513   80763.6     INDEF   25551.2     2.969        0.
  761.6666 -9.428513    30797.     INDEF   9763.49     2.963        0.
  707.0107  9.057556   982.127    -108.4   332.155     2.778        0.
  653.6985  9.057556   101046.   -11156.   32134.5     2.954        0.
  625.4037 -1.498077   1572.06     INDEF   469.889     3.143        0.
  599.7288 -4.170947    3039.2     INDEF   937.013     3.047        0.
  588.2965 -1.498077   992.657     INDEF   291.149     3.203        0.
  537.1754 -1.498077   1967.13     INDEF   617.407     2.993        0.
  423.9474 -1.498077   1926.32     INDEF   643.952      2.81        0.
  391.1234 -1.498077   1005.35     INDEF   319.077      2.96        0.
  367.2732 -1.498077    4975.1     INDEF     1552.     3.011        0.
  356.6112 -1.498077   1525.28     INDEF   487.827     2.937        0.
  337.5031 -1.498077   1455.95     INDEF   505.154     2.708        0.
  30.73264 -3.547714   10030.6     INDEF   3193.58     2.951        0.
  52.68575 -3.547714   20475.9     INDEF   6545.03     2.939        0.
  74.12913 -3.547714   1485.05     INDEF   488.263     2.857        0.
   93.9752 -3.547714   100775.     INDEF   32076.9     2.951        0.
  114.2543 -3.547714   3011.68     INDEF   968.417     2.922        0.
  150.0832 -12.86791   1224.27     INDEF   402.706     2.856        0.
